,name,found in taxon,part_of,has_predicted_soma_location_in,subclass of,neuron_type
76,SLC17A7-expressing human MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,Human MTG Glutamatergic neuron,Glutamatergic
77,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,CXCL14-expressing human MTG GABAergic interneuron,GABAergic
78,NXPH1-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,GAD1-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
79,VIP-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,CXCL14-expressing human MTG GABAergic interneuron,GABAergic
80,SST-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,NXPH1-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
81,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,NXPH1-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
82,Human MTG Oligodendrocyte precursor cell,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,Oligodendrocyte precursor cell,
83,Human MTG Astrocyte of the cerebral cortex,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,Astrocyte of the cerebral cortex,
84,Human MTG Oligodendrocyte,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,Oligodendrocyte,
85,Human cerebral cortex MTG endothelial cell,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,Cerebral cortex endothelial cell,
86,Human MTG Microglial cell,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,Microglial cell,
87,FGFR3-expressing human MTG astrocyte,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,MTG Astrocyte of the human cerebral cortex,
88,Human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,cerebral cortex GABAergic interneuron,GABAergic
89,Human MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,Glutamatergic neuron,Glutamatergic
90,CUX2-expressing human MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4,SLC17A7-expressing human MTG Glutamatergic neuron,Glutamatergic
91,RORB-expressing human MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,SLC17A7-expressing human MTG Glutamatergic neuron,Glutamatergic
92,COBLL1-expressing human MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer3|cortical_layer4|cortical_layer5,RORB-expressing human MTG Glutamatergic neuron,Glutamatergic
93,TRABD2A-expressing human MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer4|cortical_layer5|cortical_layer6,RORB-expressing human MTG Glutamatergic neuron,Glutamatergic
94,OLFML2B-expressing human MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer5|cortical_layer6,SLC17A7-expressing human MTG Glutamatergic neuron,Glutamatergic
95,EGFEM1P-expressing human MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer5|cortical_layer6,SLC17A7-expressing human MTG Glutamatergic neuron,Glutamatergic
96,CXCL14-expressing human MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,GAD1-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
