,Unnamed: 0,name,name_qid,found in taxon,found in taxon_qid,part_of,part_of_qid,subclass of,subclass of_qid
77,77,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,CXCL14-expressing human MTG GABAergic interneuron,dontexist
78,78,NXPH1-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,GAD1-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
79,79,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,CXCL14-expressing human MTG GABAergic interneuron,dontexist
80,80,SST-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,NXPH1-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
81,81,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,NXPH1-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
82,82,Human MTG Oligodendrocyte precursor cell,Q71306995,Human,Q15978631,middle temporal gyrus,Q71290986,Human oligodendrocyte precursor cell,Q71300464
83,83,Human MTG Astrocyte of the cerebral cortex,Q71306999,Human,Q15978631,middle temporal gyrus,Q71290986,Astrocyte of the human cerebral cortex,Q71300383
84,84,Human MTG Oligodendrocyte,Q71307001,Human,Q15978631,middle temporal gyrus,Q71290986,Human Oligodendrocyte,Q71292398
85,85,Human cerebral cortex MTG endothelial cell,Q71307004,Human,Q15978631,middle temporal gyrus,Q71290986,endothelial cell of the human cerebral cortex ,Q71300794
86,86,Human MTG Microglial cell,Q71307005,Human,Q15978631,middle temporal gyrus,Q71290986,Human Microglial cell,Q71292660
87,87,FGFR3-expressing human MTG astrocyte,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,Human MTG Astrocyte of the cerebral cortex,Q71306999
88,88,Human cerebral cortex MTG GABAergic interneuron,Q71307007,Human,Q15978631,middle temporal gyrus,Q71290986,Human cerebral cortex GABAergic interneuron,Q71299560
89,89,Human MTG Glutamatergic neuron,Q71307011,Human,Q15978631,middle temporal gyrus,Q71290986,Human Glutamatergic neuron,Q71300182
90,90,CUX2-expressing human MTG Glutamatergic neuron,Q71309853,Human,Q15978631,middle temporal gyrus,Q71290986,SLC17A7-expressing human MTG Glutamatergic neuron,Q71309282
91,91,RORB-expressing human MTG Glutamatergic neuron,Q71309855,Human,Q15978631,middle temporal gyrus,Q71290986,SLC17A7-expressing human MTG Glutamatergic neuron,Q71309282
92,92,COBLL1-expressing human MTG Glutamatergic neuron,Q71311245,Human,Q15978631,middle temporal gyrus,Q71290986,RORB-expressing human MTG Glutamatergic neuron,Q71309855
93,93,TRABD2A-expressing human MTG Glutamatergic neuron,Q71311249,Human,Q15978631,middle temporal gyrus,Q71290986,RORB-expressing human MTG Glutamatergic neuron,Q71309855
94,94,OLFML2B-expressing human MTG Glutamatergic neuron,Q71309858,Human,Q15978631,middle temporal gyrus,Q71290986,SLC17A7-expressing human MTG Glutamatergic neuron,Q71309282
95,95,EGFEM1P-expressing human MTG Glutamatergic neuron,Q71309861,Human,Q15978631,middle temporal gyrus,Q71290986,SLC17A7-expressing human MTG Glutamatergic neuron,Q71309282
96,96,CXCL14-expressing human MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,GAD1-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
