,name,name_qid,found in taxon,found in taxon_qid,part_of,part_of_qid,subclass of,subclass of_qid
77,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,CXCL14-expressing human MTG GABAergic interneuron,
78,NXPH1-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,GAD1-expressing human cerebral cortex MTG GABAergic interneuron,
79,VIP-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,CXCL14-expressing human MTG GABAergic interneuron,
80,SST-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,NXPH1-expressing human cerebral cortex MTG GABAergic interneuron,
81,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,NXPH1-expressing human cerebral cortex MTG GABAergic interneuron,
82,Human MTG Oligodendrocyte precursor cell,,Human,Q15978631,middle temporal gyrus,Q71290986,Human oligodendrocyte precursor cell,Q71300464
83,Human MTG Astrocyte of the cerebral cortex,,Human,Q15978631,middle temporal gyrus,Q71290986,Astrocyte of the human cerebral cortex,Q71300383
84,Human MTG Oligodendrocyte,,Human,Q15978631,middle temporal gyrus,Q71290986,Human Oligodendrocyte,Q71292398
85,Human cerebral cortex MTG endothelial cell,,Human,Q15978631,middle temporal gyrus,Q71290986,endothelial cell of the human cerebral cortex ,Q71300794
86,Human MTG Microglial cell,,Human,Q15978631,middle temporal gyrus,Q71290986,Human Microglial cell,Q71292660
87,FGFR3-expressing human MTG astrocyte,,Human,Q15978631,middle temporal gyrus,Q71290986,MTG Astrocyte of the human cerebral cortex,
88,Human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,Human cerebral cortex GABAergic interneuron,Q71299560
89,Human MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,Human Glutamatergic neuron,Q71300182
90,CUX2-expressing human MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,SLC17A7-expressing human MTG Glutamatergic neuron,
91,RORB-expressing human MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,SLC17A7-expressing human MTG Glutamatergic neuron,
92,COBLL1-expressing human MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,RORB-expressing human MTG Glutamatergic neuron,
93,TRABD2A-expressing human MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,RORB-expressing human MTG Glutamatergic neuron,
94,OLFML2B-expressing human MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,SLC17A7-expressing human MTG Glutamatergic neuron,
95,EGFEM1P-expressing human MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,SLC17A7-expressing human MTG Glutamatergic neuron,
96,CXCL14-expressing human MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,GAD1-expressing human cerebral cortex MTG GABAergic interneuron,
